Date,Demand
2019-01-01,23.8314679692528
2019-01-02,29.67925112221289
2019-01-03,27.57803775423032
2019-01-04,26.330596975981965
2019-01-05,21.990010398111597
2019-01-06,22.0754536905992
2019-01-07,21.181876346178758
2019-01-08,29.348155318315676
2019-01-09,26.782694220753495
2019-01-10,27.93719149886784
2019-01-11,21.146978492174245
2019-01-12,30.724621020963042
2019-01-13,29.434033973025045
2019-01-14,23.31675493681251
2019-01-15,23.09501614765194
2019-01-16,23.193835886204866
2019-01-17,24.48483459399842
2019-01-18,26.772170439603823
2019-01-19,25.92579849488298
2019-01-20,24.599905899950986
2019-01-21,27.886909558105653
2019-01-22,23.243561320973786
2019-01-23,24.849763516570217
2019-01-24,25.671058378966784
2019-01-25,26.646667855231946
2019-01-26,30.015637576682295
2019-01-27,24.23788453028565
2019-01-28,27.46009573865037
2019-01-29,28.317814889199365
2019-01-30,22.933381877999864
2019-01-31,28.618803238274904
2019-02-01,24.322319273700668
2019-02-02,23.340541787544293
2019-02-03,32.251031938371426
2019-02-04,32.48982911220118
2019-02-05,30.987974848433616
2019-02-06,26.01977112653752
2019-02-07,24.01910549063947
2019-02-08,29.952564007325904
2019-02-09,27.578686441846898
2019-02-10,24.463530153622695
2019-02-11,28.259942192324093
2019-02-12,23.71610330531691
2019-02-13,32.528467856906154
2019-02-14,26.085091451258407
2019-02-15,30.183505954948693
2019-02-16,26.735330952373673
2019-02-17,28.877765326598038
2019-02-18,29.201963231915574
2019-02-19,25.640073597648083
2019-02-20,33.54292041206527
2019-02-21,31.652807488965024
2019-02-22,33.34971769942578
2019-02-23,32.95507894514987
2019-02-24,30.036695083147656
2019-02-25,33.32612511674324
2019-02-26,25.040778152348235
2019-02-27,26.162920652363844
2019-02-28,24.70135834674302
2019-03-01,27.547123099011657
2019-03-02,28.224054670542806
2019-03-03,27.092948843460174
2019-03-04,32.707712641236114
2019-03-05,28.027439999233636
2019-03-06,27.307499445135026
2019-03-07,29.962029895595663
2019-03-08,25.979882190674296
2019-03-09,32.62682624612357
2019-03-10,25.38321485469369
2019-03-11,34.5380555101198
2019-03-12,32.42172798267605
2019-03-13,26.715138752477436
2019-03-14,24.810503752711792
2019-03-15,32.935788417507865
2019-03-16,31.874222357837674
2019-03-17,32.11877136868415
2019-03-18,32.56302307611699
2019-03-19,25.610948793203004
2019-03-20,28.473898992971012
2019-03-21,26.065222946609342
2019-03-22,33.5534033425164
2019-03-23,31.16972848024551
2019-03-24,28.25864272396326
2019-03-25,25.596694549949895
2019-03-26,28.080912751626386
2019-03-27,28.231428201003368
2019-03-28,32.28268664892141
2019-03-29,31.367751819329953
2019-03-30,33.86837748196168
2019-03-31,29.720991761518945
2019-04-01,26.195896158063967
2019-04-02,32.13203116550363
2019-04-03,32.60558188960576
2019-04-04,30.60717055362013
2019-04-05,32.69925760387257
2019-04-06,29.92125047241476
2019-04-07,30.20285484932343
2019-04-08,29.241694429922568
2019-04-09,25.209761587408224
2019-04-10,26.022302221094748
2019-04-11,25.244032606686496
2019-04-12,31.278736872537714
2019-04-13,28.041628268990717
2019-04-14,29.96575966480887
2019-04-15,33.93625572240624
2019-04-16,27.33261120660907
2019-04-17,28.921181973177042
2019-04-18,32.34910047036697
2019-04-19,27.056386638068453
2019-04-20,25.511606998348785
2019-04-21,27.611320246089782
2019-04-22,26.296619604017202
2019-04-23,33.950596178615626
2019-04-24,32.70265740660964
2019-04-25,30.921955695401206
2019-04-26,33.267629052348255
2019-04-27,32.55349978061457
2019-04-28,26.344897042534907
2019-04-29,33.365876598047244
2019-04-30,29.793483439024186
2019-05-01,32.432933145187235
2019-05-02,33.276623639484484
2019-05-03,27.451645598467774
2019-05-04,25.326764532042084
2019-05-05,26.4589790225126
2019-05-06,28.40284887988211
2019-05-07,32.26283791645451
2019-05-08,32.63970556416815
2019-05-09,24.050435624224985
2019-05-10,29.03572230116923
2019-05-11,28.048530238322993
2019-05-12,26.040521168660018
2019-05-13,24.96198781099687
2019-05-14,27.08226176827926
2019-05-15,33.076884809557626
2019-05-16,26.82041388858736
2019-05-17,28.71582426796955
2019-05-18,30.496595723386665
2019-05-19,27.04016307117802
2019-05-20,33.058140148277275
2019-05-21,32.90025473546654
2019-05-22,25.728096524436463
2019-05-23,28.116299131903027
2019-05-24,26.085206097984337
2019-05-25,25.856525259899286
2019-05-26,23.307795735007694
2019-05-27,28.96450467932059
2019-05-28,27.824736544339498
2019-05-29,23.240989705203148
2019-05-30,25.44011488317578
2019-05-31,31.6629708147458
2019-06-01,24.901827973898605
2019-06-02,23.88031225645568
2019-06-03,27.25032514114495
2019-06-04,32.1360380086483
2019-06-05,24.623146636867478
2019-06-06,28.846357173906558
2019-06-07,29.662975947365283
2019-06-08,24.34432682320633
2019-06-09,29.170703312138418
2019-06-10,25.48639998084137
2019-06-11,28.05111986928946
2019-06-12,27.9823395187316
2019-06-13,26.92328204542672
2019-06-14,72.09529148682995
2019-06-15,94.8098522953929
2019-06-16,92.69857301395466
2019-06-17,23.10029600640322
2019-06-18,21.5592797667007
2019-06-19,26.976534009081398
2019-06-20,27.75900806739071
2019-06-21,21.064711217906375
2019-06-22,25.934965647685395
2019-06-23,22.993953736578757
2019-06-24,27.095468791357405
2019-06-25,22.30195932565839
2019-06-26,27.382061130110657
2019-06-27,24.25428585917269
2019-06-28,29.66836627419631
2019-06-29,21.590320606482585
